id,segment,Brand,Brand,Product,Product,Audi,Chevrolet,Jaguar,Kia,Kia,Kia,Nissan,Nissan,Tesla,Tesla,Tesla,Toyota,VW
id,segment,Baseline,Live,Baseline,Live,1,2,3,4,5,6,7,8,9,10,11,12,13
1,Millenial,Chevrolet,Chevrolet,2,2,-1.0434213216686554,3.2197735558824956,-2.706488812595675,1.361110558569854,0.3562779330312583,0.7248628744091016,0.9753711521033084,1.0899014833322542,2.825784368382322,0.1711631688781382,-0.16202598322121986,2.12693869106376,1.2278150835697457
2,Millenial,Tesla,Tesla,9,9,-0.1331948370499939,1.9990361389575184,-4.23089109544944,-0.08375865409527705,0.5070259377933595,1.2349603744614668,0.6566776159181595,0.6214061438698308,5.3748103345182106,1.1802036566724659,-0.7422817669926225,2.534963994110635,0.4581753015959382
3,Millenial,Tesla,Tesla,9,9,-1.219385475376436,1.2679755045662682,-2.6506109419918493,1.7154989502133997,1.737579184611771,1.4542354723969617,2.553914561626972,3.144599796216943,3.6228461868416186,0.9729691744268554,1.203802040396165,1.9635933445736455,-0.04325633688025787
4,Millenial,Tesla,Tesla,11,11,1.6430203339893308,-0.5139395285638206,-1.6885312261900864,0.6033813512663935,0.46720154328573815,-0.5553872782959244,-1.0896114513393897,-0.6036905989276791,1.6604906679866973,1.0442894600685306,1.9182706599118207,-0.9211577892329597,-0.7151786687485984
5,Millenial,Tesla,Tesla,11,11,1.5206075049597911,1.2407174359000321,0.02885275206794924,2.5592640093651475,0.8603140016594766,-1.4735990174096645,1.2239563342248418,1.3785283611557766,2.737289022260267,2.2230703356972663,4.766928869712467,-1.9493182910051032,-1.0394630562653853
6,Millenial,Nissan,Nissan,8,8,-2.2475195686474163,2.3508508617023613,-1.907649762733366,0.25546429167694207,0.45858412201513277,1.5699700860766013,2.13275943555272,2.91957193380476,2.3796594431870375,-0.027047726304334885,-1.4622867448252115,2.0121955240289258,-0.4691148473891218
7,Millenial,Tesla,Tesla,9,9,-2.283101994601893,5.7979449658967015,-4.694310509937368,2.432875546342455,1.1774261723902575,3.1553203377124963,4.373060929868455,4.598971377966196,7.402076182094115,1.0727487186243096,-2.7202009009479293,3.4958792988501917,3.5930424032933397
8,Millenial,Tesla,Tesla,11,11,1.712352005252008,0.5532962943616027,0.9917870944000827,2.024082305998717,0.06551982759109332,-1.5184157880609774,0.5410372602885583,1.2143934913856518,1.3474575568296325,0.8427962352375898,2.890655226256378,-0.909453869609938,-0.8939382871303481
9,Millenial,Tesla,Tesla,9,9,-1.5889302008157657,4.952230561869055,-7.357403247245898,3.5344871036379906,3.830442484125203,2.709875307658735,3.9384461319433317,3.3207011125443398,6.352545132824487,-3.741820432161649,-6.92088294838563,4.821119027147155,3.826437810102967
10,Millenial,Tesla,Tesla,9,9,-0.603889914144129,2.062413154613285,-4.121022117457186,4.442629613993952,4.777160505196799,1.6442592194255745,1.5202274795979598,1.503607750166605,5.68601478630181,-0.916779147208401,0.596524252812797,1.5377153200685494,0.7074506784358707
11,Millenial,Nissan,Nissan,7,7,-2.8386508007420908,1.544887998941306,-1.7214823719983872,0.855856942644653,1.381215531172016,0.7058163015281844,2.296752804883276,1.9035199609426072,1.4863769477692383,-0.8654144990697368,0.11131345898263634,0.9704379803239238,0.5489957889882278
12,Millenial,Tesla,Tesla,11,11,-0.8503559247172334,-1.2203987551832474,-1.6632657096442034,1.676280275586801,2.2544296824740604,-0.6339411450633508,-1.373784933742232,-1.1706895795812726,2.1760688531799683,-0.2529766731846299,3.712408430780491,-0.3996902343302617,-2.0327347485651694
13,Millenial,Tesla,Tesla,9,9,0.061815608967226154,1.118139906518599,-2.6261070126923234,1.2174597418141255,0.4994660299282371,0.7036720950026383,0.9129494337906809,1.6531845278866935,3.6308792938727272,0.12584932752100575,-0.8416227738668685,0.9928862473288469,-0.7505791930630572
14,Millenial,Tesla,Tesla,11,11,2.867291515023083,-1.2345107188365785,1.5159307704306635,2.1769022948553705,1.1545662311196319,-2.2527495267220443,-0.86313735153535,0.10665115199587394,0.05286208109446777,0.14934661288708262,3.281533489283351,-0.02358793901313283,-3.403077969219862
15,Millenial,Tesla,Tesla,9,9,-0.45156767418348576,1.6402136925701039,-1.902711009125634,-1.1308132717123813,-1.7864472114991496,0.5942769303610718,1.3008075107772372,1.9748367379809737,2.6123596602732473,2.427374375042495,0.039352527983240404,1.5891703691339856,2.2222802067492307
