brand,Millenial,Gen X,Baby Boomer
Audi,828.42,828.42,828.42
Chevrolet,321.53,321.53,321.53
Jaguar,1024.64,1024.64,1024.64
Kia,339.88,339.88,339.88
Nissan,420.83,420.83,420.83
Tesla,670.8,670.8,670.8
Toyota,348.22,348.22,348.22
VW,306.61,306.61,306.61
