brand,Millenial,Gen X,Baby Boomer
Audi,0.183,0.183,0.183
Chevrolet,0.167,0.167,0.167
Jaguar,0.246,0.246,0.246
Kia,0.167,0.167,0.167
Nissan,0.275,0.275,0.275
Tesla,0.1,0.1,0.1
Toyota,0.133,0.133,0.133
VW,0.2,0.2,0.2
